text,label
This is a very disappointing service,negative
I am very happy with this restaurant,positive
ứng dụng này thật sự không đáng tiền,negative
Đây là một sản phẩm rất ổn,positive
I am very disappointed with this device,negative
Tôi rất thất vọng với máy tính,negative
The laptop works great,positive
This movie is absolutely annoying,negative
Tôi ghét ứng dụng này,negative
Tôi rất thất vọng với sản phẩm,negative
dịch vụ này thật sự rất ổn,positive
Đây là một sản phẩm tốt,positive
trò chơi này thật sự tốt,positive
ứng dụng này thật sự rất ổn,positive
Đây là một sản phẩm tệ,negative
thiết bị này rất tồi tệ,negative
I really like this movie,positive
This service is useless,negative
dịch vụ này thật sự thất vọng,negative
Tôi rất hài lòng với máy tính,positive
Trải nghiệm với thiết bị rất rất kém,negative
Đây là một thiết bị kém,negative
I am very disappointed with this device,negative
Đây là một dịch vụ kém,negative
This phone is awful,negative
I hate this app,negative
This is a perfect movie,positive
This phone is absolutely incredible,positive
I hate this phone,negative
I really like this phone,positive
Trải nghiệm với điện thoại rất tuyệt vời,positive
I regret buying this app,negative
This laptop is nice,positive
This laptop is nice,positive
This phone is absolutely amazing,positive
I am very disappointed with this item,negative
I am very disappointed with this movie,negative
Đây là một dịch vụ thất vọng,negative
Đây là một trò chơi xuất sắc,positive
Tôi ghét dịch vụ này,negative
Tôi rất thất vọng với sản phẩm,negative
I hate this item,negative
Đây là một dịch vụ rất tệ,negative
The service works outstanding,positive
I regret buying this product,negative
The game works very awful,negative
I really like this laptop,positive
Tôi rất hài lòng với dịch vụ,positive
sản phẩm này thật sự rất kém,negative
This phone is absolutely worst,negative
Trải nghiệm với trò chơi rất hoàn hảo,positive
I love this service,positive
I hate this laptop,negative
This game is absolutely worst,negative
I really like this app,positive
dịch vụ này thật sự tệ,negative
This is a incredible phone,positive
This phone is absolutely poor,negative
Tôi rất hài lòng với điện thoại,positive
I regret buying this service,negative
I love this restaurant,positive
This item is absolutely outstanding,positive
I regret buying this item,negative
Tôi rất thích máy tính này,positive
máy tính này rất tồi tệ,negative
I love this service,positive
This service is absolutely annoying,negative
I am very happy with this device,positive
dịch vụ này rất tệ,negative
This movie is worst,negative
trò chơi này thật sự rất ổn,positive
dịch vụ này thật sự đáng tiền,positive
This is a fantastic service,positive
I hate this device,negative
This is a very cheap app,negative
I am very happy with this phone,positive
trò chơi này thật sự rất ổn,positive
Tôi rất thích máy tính này,positive
dịch vụ này thật sự tốt,positive
điện thoại này rất xuất sắc,positive
Trải nghiệm với dịch vụ rất tuyệt vời,positive
This item is horrible,negative
I really like this restaurant,positive
This product is superb,positive
This game is amazing,positive
This movie is absolutely outstanding,positive
This game is absolutely awesome,positive
I love this device,positive
I am very disappointed with this app,negative
This app is annoying,negative
I hate this phone,negative
I regret buying this service,negative
Đây là một máy tính đáng tiền,positive
Trải nghiệm với điện thoại rất không đáng tiền,negative
I am very disappointed with this phone,negative
Tôi ghét trò chơi này,negative
Trải nghiệm với máy tính rất xuất sắc,positive
This item is absolutely amazing,positive
This item is absolutely great,positive
Trải nghiệm với ứng dụng rất tồi tệ,negative
thiết bị này rất chất lượng cao,positive
Trải nghiệm với thiết bị rất tệ,negative
Tôi rất hài lòng với điện thoại,positive
Trải nghiệm với máy tính rất tồi tệ,negative
I am very disappointed with this device,negative
Đây là một máy tính rất kém,negative
Đây là một trò chơi xuất sắc,positive
Trải nghiệm với sản phẩm rất rất tệ,negative
The game works very useless,negative
thiết bị này thật sự tệ,negative
I regret buying this movie,negative
thiết bị này thật sự kém,negative
Trải nghiệm với điện thoại rất xuất sắc,positive
The product works brilliant,positive
Tôi rất hài lòng với điện thoại,positive
Trải nghiệm với thiết bị rất rất tệ,negative
Tôi rất hài lòng với sản phẩm,positive
This movie is absolutely brilliant,positive
máy tính này rất kém,negative
Đây là một sản phẩm tồi tệ,negative
I love this phone,positive
This is a great service,positive
I am very happy with this phone,positive
Tôi rất hài lòng với máy tính,positive
Đây là một thiết bị rất ổn,positive
Tôi rất thất vọng với điện thoại,negative
Trải nghiệm với sản phẩm rất đáng tiền,positive
I hate this laptop,negative
This is a very worst item,negative
Đây là một sản phẩm tuyệt vời,positive
I love this app,positive
I am very happy with this service,positive
Trải nghiệm với dịch vụ rất tốt,positive
sản phẩm này rất chất lượng cao,positive
Tôi rất thất vọng với dịch vụ,negative
The movie works outstanding,positive
Tôi rất thích thiết bị này,positive
dịch vụ này thật sự rất tệ,negative
This is a very bad laptop,negative
I love this movie,positive
ứng dụng này rất hoàn hảo,positive
This is a very worst product,negative
trò chơi này rất đáng tiền,positive
sản phẩm này rất không đáng tiền,negative
The laptop works very poor,negative
ứng dụng này rất kém,negative
This is a very ugly game,negative
I really like this item,positive
This service is absolutely awful,negative
Tôi rất thích trò chơi này,positive
I hate this laptop,negative
The phone works very ugly,negative
Tôi ghét điện thoại này,negative
The product works very worst,negative
Trải nghiệm với thiết bị rất rất kém,negative
Tôi rất thất vọng với dịch vụ,negative
Tôi rất thất vọng với dịch vụ,negative
The phone works very ugly,negative
Đây là một trò chơi xuất sắc,positive
Đây là một thiết bị xuất sắc,positive
I love this item,positive
I am very happy with this service,positive
I hate this item,negative
Trải nghiệm với điện thoại rất xuất sắc,positive
I hate this product,negative
Đây là một điện thoại tệ,negative
Trải nghiệm với máy tính rất rất kém,negative
Tôi rất thích trò chơi này,positive
I am very disappointed with this game,negative
Tôi rất thích dịch vụ này,positive
sản phẩm này thật sự hoàn hảo,positive
Tôi rất thích sản phẩm này,positive
This item is absolutely beautiful,positive
Đây là một sản phẩm tệ,negative
This phone is awful,negative
This game is brilliant,positive
I love this app,positive
Đây là một máy tính tốt,positive
Tôi rất thích thiết bị này,positive
Đây là một điện thoại kém,negative
thiết bị này rất đáng tiền,positive
I love this game,positive
This item is absolutely cheap,negative
This phone is absolutely bad,negative
I hate this restaurant,negative
Trải nghiệm với điện thoại rất chất lượng cao,positive
Trải nghiệm với dịch vụ rất thất vọng,negative
Tôi rất hài lòng với thiết bị,positive
trò chơi này rất rất ổn,positive
Trải nghiệm với thiết bị rất xuất sắc,positive
This movie is nice,positive
I am very happy with this service,positive
The restaurant works very cheap,negative
Đây là một trò chơi hoàn hảo,positive
Trải nghiệm với thiết bị rất tuyệt vời,positive
I love this product,positive
sản phẩm này thật sự không đáng tiền,negative
Tôi ghét máy tính này,negative
Trải nghiệm với sản phẩm rất hoàn hảo,positive
I really like this app,positive
Đây là một máy tính đáng tiền,positive
This is a awesome restaurant,positive
This movie is poor,negative
sản phẩm này rất đáng tiền,positive
This product is absolutely ugly,negative
máy tính này rất tồi tệ,negative
The app works nice,positive
This device is absolutely cheap,negative
I love this device,positive
This restaurant is absolutely broken,negative
trò chơi này thật sự kém,negative
The service works amazing,positive
I hate this laptop,negative
Tôi ghét dịch vụ này,negative
sản phẩm này rất rất ổn,positive
Đây là một sản phẩm đáng tiền,positive
The service works very cheap,negative
Trải nghiệm với thiết bị rất chất lượng cao,positive
I am very happy with this game,positive
Trải nghiệm với ứng dụng rất tệ,negative
I regret buying this app,negative
I am very happy with this phone,positive
This is a very bad app,negative
Tôi rất thích ứng dụng này,positive
This laptop is beautiful,positive
This is a superb device,positive
I really like this phone,positive
The restaurant works very annoying,negative
I am very disappointed with this service,negative
This is a very awful app,negative
The item works brilliant,positive
I hate this service,negative
Đây là một thiết bị rất ổn,positive
dịch vụ này thật sự rất ổn,positive
I love this laptop,positive
The item works amazing,positive
điện thoại này thật sự rất kém,negative
I regret buying this movie,negative
I love this restaurant,positive
I regret buying this product,negative
Đây là một thiết bị thất vọng,negative
The service works very disappointing,negative
I hate this product,negative
This is a very terrible laptop,negative
máy tính này thật sự tồi tệ,negative
Trải nghiệm với dịch vụ rất rất kém,negative
Tôi rất hài lòng với máy tính,positive
The device works very broken,negative
This is a very cheap item,negative
Đây là một dịch vụ rất kém,negative
This is a very terrible phone,negative
Trải nghiệm với sản phẩm rất xuất sắc,positive
I am very happy with this game,positive
I am very happy with this restaurant,positive
This restaurant is absolutely bad,negative
This is a wonderful phone,positive
I regret buying this movie,negative
This movie is terrible,negative
Đây là một sản phẩm tồi tệ,negative
Trải nghiệm với ứng dụng rất chất lượng cao,positive
điện thoại này thật sự xuất sắc,positive
Tôi rất thất vọng với máy tính,negative
This service is absolutely outstanding,positive
This is a wonderful restaurant,positive
I hate this device,negative
Tôi rất hài lòng với máy tính,positive
This service is absolutely awesome,positive
I am very disappointed with this service,negative
Trải nghiệm với thiết bị rất tệ,negative
dịch vụ này rất rất tệ,negative
I am very disappointed with this service,negative
Tôi rất thích sản phẩm này,positive
This movie is absolutely wonderful,positive
I am very happy with this item,positive
thiết bị này thật sự chất lượng cao,positive
I am very disappointed with this service,negative
The item works very bad,negative
Tôi rất thích máy tính này,positive
I regret buying this restaurant,negative
This is a very cheap laptop,negative
trò chơi này thật sự chất lượng cao,positive
Đây là một ứng dụng tồi tệ,negative
This movie is horrible,negative
Tôi rất thích trò chơi này,positive
This phone is absolutely bad,negative
I am very disappointed with this phone,negative
I hate this device,negative
dịch vụ này thật sự tốt,positive
Tôi ghét dịch vụ này,negative
Trải nghiệm với máy tính rất chất lượng cao,positive
I am very disappointed with this movie,negative
dịch vụ này thật sự hoàn hảo,positive
This game is ugly,negative
Tôi ghét dịch vụ này,negative
This is a very ugly service,negative
Đây là một dịch vụ hoàn hảo,positive
This is a wonderful app,positive
This restaurant is brilliant,positive
I really like this phone,positive
This is a very broken game,negative
I am very disappointed with this restaurant,negative
Đây là một máy tính không đáng tiền,negative
This game is absolutely cheap,negative
The item works very broken,negative
I regret buying this item,negative
The game works very awful,negative
Tôi rất thất vọng với trò chơi,negative
This service is absolutely bad,negative
The service works very cheap,negative
điện thoại này rất rất kém,negative
I hate this movie,negative
Tôi rất thích ứng dụng này,positive
I am very happy with this laptop,positive
This item is amazing,positive
This item is horrible,negative
ứng dụng này rất tồi tệ,negative
Tôi ghét sản phẩm này,negative
Tôi rất thích sản phẩm này,positive
I am very happy with this restaurant,positive
I am very happy with this app,positive
The movie works great,positive
I am very happy with this item,positive
ứng dụng này thật sự xuất sắc,positive
Tôi ghét thiết bị này,negative
This laptop is beautiful,positive
Tôi rất thất vọng với sản phẩm,negative
sản phẩm này thật sự tồi tệ,negative
Tôi rất thất vọng với máy tính,negative
điện thoại này thật sự tệ,negative
Tôi ghét thiết bị này,negative
This device is perfect,positive
Đây là một thiết bị tuyệt vời,positive
Tôi ghét sản phẩm này,negative
Tôi rất hài lòng với ứng dụng,positive
This is a brilliant laptop,positive
This game is wonderful,positive
The phone works very ugly,negative
Đây là một máy tính tệ,negative
This service is absolutely ugly,negative
This is a very worst restaurant,negative
trò chơi này rất tồi tệ,negative
I love this phone,positive
Tôi rất thích dịch vụ này,positive
This laptop is terrible,negative
Đây là một điện thoại không đáng tiền,negative
I hate this phone,negative
Đây là một máy tính chất lượng cao,positive
ứng dụng này thật sự xuất sắc,positive
I regret buying this laptop,negative
I am very happy with this service,positive
Tôi ghét trò chơi này,negative
Trải nghiệm với trò chơi rất tốt,positive
Đây là một sản phẩm kém,negative
I hate this restaurant,negative
This movie is absolutely annoying,negative
điện thoại này rất không đáng tiền,negative
Tôi rất thích điện thoại này,positive
Tôi rất hài lòng với thiết bị,positive
The device works very ugly,negative
Tôi rất hài lòng với trò chơi,positive
thiết bị này thật sự tuyệt vời,positive
Tôi rất hài lòng với sản phẩm,positive
Tôi ghét ứng dụng này,negative
This is a very poor phone,negative
Đây là một điện thoại thất vọng,negative
This movie is absolutely perfect,positive
Tôi rất thất vọng với thiết bị,negative
Tôi ghét thiết bị này,negative
This device is amazing,positive
I really like this service,positive
This app is absolutely fantastic,positive
trò chơi này rất rất ổn,positive
Tôi ghét sản phẩm này,negative
dịch vụ này rất tốt,positive
I regret buying this app,negative
Trải nghiệm với trò chơi rất chất lượng cao,positive
máy tính này thật sự hoàn hảo,positive
This game is absolutely annoying,negative
Tôi rất thích máy tính này,positive
This movie is worst,negative
The device works fantastic,positive
The phone works very useless,negative
This product is incredible,positive
The product works outstanding,positive
This is a very cheap product,negative
Trải nghiệm với máy tính rất tồi tệ,negative
This item is absolutely nice,positive
Tôi ghét trò chơi này,negative
Tôi ghét máy tính này,negative
I am very happy with this item,positive
Tôi rất hài lòng với thiết bị,positive
This is a very awful phone,negative
The restaurant works very horrible,negative
I love this item,positive
I am very happy with this laptop,positive
Đây là một trò chơi tốt,positive
This is a very broken app,negative
This is a very broken device,negative
This item is outstanding,positive
I really like this product,positive
ứng dụng này thật sự tuyệt vời,positive
Trải nghiệm với thiết bị rất kém,negative
This phone is absolutely poor,negative
The game works very horrible,negative
The item works very worst,negative
This item is absolutely disappointing,negative
I really like this movie,positive
Trải nghiệm với máy tính rất rất tệ,negative
điện thoại này thật sự tồi tệ,negative
Tôi ghét ứng dụng này,negative
Đây là một máy tính chất lượng cao,positive
ứng dụng này thật sự thất vọng,negative
điện thoại này thật sự hoàn hảo,positive
I hate this game,negative
Đây là một điện thoại không đáng tiền,negative
I hate this item,negative
I hate this restaurant,negative
Đây là một trò chơi rất tệ,negative
This laptop is absolutely awful,negative
Trải nghiệm với thiết bị rất rất ổn,positive
Tôi ghét điện thoại này,negative
Đây là một dịch vụ đáng tiền,positive
Tôi rất hài lòng với dịch vụ,positive
Tôi rất thất vọng với sản phẩm,negative
I regret buying this restaurant,negative
Đây là một trò chơi kém,negative
Đây là một trò chơi đáng tiền,positive
thiết bị này thật sự thất vọng,negative
máy tính này rất chất lượng cao,positive
Trải nghiệm với máy tính rất không đáng tiền,negative
This service is useless,negative
I love this restaurant,positive
trò chơi này thật sự đáng tiền,positive
Tôi rất hài lòng với máy tính,positive
I am very happy with this service,positive
Tôi rất thất vọng với máy tính,negative
Tôi rất thích trò chơi này,positive
This device is horrible,negative
I hate this movie,negative
Trải nghiệm với máy tính rất kém,negative
I am very happy with this product,positive
This movie is absolutely disappointing,negative
I regret buying this product,negative
Đây là một sản phẩm không đáng tiền,negative
sản phẩm này thật sự kém,negative
I regret buying this app,negative
Đây là một trò chơi tồi tệ,negative
This is a very disappointing restaurant,negative
Đây là một điện thoại tệ,negative
Trải nghiệm với thiết bị rất tốt,positive
The service works beautiful,positive
This is a very bad game,negative
This item is poor,negative
dịch vụ này rất kém,negative
Đây là một ứng dụng tốt,positive
máy tính này thật sự đáng tiền,positive
Đây là một ứng dụng đáng tiền,positive
I regret buying this service,negative
Tôi rất thích điện thoại này,positive
Đây là một máy tính tuyệt vời,positive
Tôi rất hài lòng với sản phẩm,positive
Đây là một dịch vụ tồi tệ,negative
This product is absolutely beautiful,positive
trò chơi này rất tốt,positive
I really like this product,positive
This product is wonderful,positive
Trải nghiệm với thiết bị rất xuất sắc,positive
I love this restaurant,positive
This is a very terrible app,negative
Đây là một sản phẩm tuyệt vời,positive
thiết bị này thật sự tuyệt vời,positive
This app is absolutely broken,negative
I regret buying this laptop,negative
Tôi rất hài lòng với điện thoại,positive
Đây là một dịch vụ tốt,positive
This is a very ugly service,negative
Trải nghiệm với trò chơi rất rất ổn,positive
This is a amazing movie,positive
Tôi rất thất vọng với dịch vụ,negative
This is a superb app,positive
sản phẩm này rất rất kém,negative
thiết bị này thật sự rất kém,negative
This movie is amazing,positive
The device works excellent,positive
Tôi rất hài lòng với máy tính,positive
This movie is absolutely terrible,negative
thiết bị này rất không đáng tiền,negative
The restaurant works amazing,positive
The phone works outstanding,positive
I really like this app,positive
dịch vụ này thật sự rất kém,negative
This is a very useless movie,negative
ứng dụng này thật sự tệ,negative
trò chơi này rất rất tệ,negative
I regret buying this service,negative
Tôi rất thất vọng với ứng dụng,negative
This is a very useless restaurant,negative
sản phẩm này rất tuyệt vời,positive
Tôi ghét sản phẩm này,negative
thiết bị này thật sự chất lượng cao,positive
I am very happy with this app,positive
This device is absolutely broken,negative
Tôi ghét thiết bị này,negative
Tôi rất thất vọng với ứng dụng,negative
Tôi rất thích sản phẩm này,positive
This service is absolutely worst,negative
Tôi rất thất vọng với trò chơi,negative
trò chơi này rất hoàn hảo,positive
Trải nghiệm với sản phẩm rất tuyệt vời,positive
sản phẩm này thật sự tuyệt vời,positive
sản phẩm này rất chất lượng cao,positive
ứng dụng này thật sự rất ổn,positive
điện thoại này thật sự hoàn hảo,positive
Tôi rất thất vọng với điện thoại,negative
ứng dụng này rất không đáng tiền,negative
máy tính này thật sự tốt,positive
sản phẩm này rất xuất sắc,positive
I am very disappointed with this app,negative
Đây là một ứng dụng rất kém,negative
This item is great,positive
sản phẩm này rất rất ổn,positive
This restaurant is ugly,negative
ứng dụng này rất xuất sắc,positive
I regret buying this product,negative
I really like this phone,positive
thiết bị này thật sự kém,negative
dịch vụ này thật sự chất lượng cao,positive
I hate this laptop,negative
Tôi rất thích thiết bị này,positive
Đây là một dịch vụ rất ổn,positive
This is a excellent product,positive
Tôi rất thất vọng với dịch vụ,negative
The item works wonderful,positive
I am very happy with this item,positive
Trải nghiệm với dịch vụ rất tồi tệ,negative
I am very disappointed with this game,negative
This is a beautiful device,positive
This movie is absolutely ugly,negative
Tôi rất hài lòng với ứng dụng,positive
I am very disappointed with this game,negative
Đây là một điện thoại rất kém,negative
This is a beautiful product,positive
Đây là một điện thoại tuyệt vời,positive
Trải nghiệm với sản phẩm rất không đáng tiền,negative
I love this service,positive
Đây là một thiết bị tệ,negative
I regret buying this service,negative
Đây là một trò chơi không đáng tiền,negative
I really like this restaurant,positive
Tôi ghét thiết bị này,negative
This item is horrible,negative
The restaurant works beautiful,positive
điện thoại này rất hoàn hảo,positive
trò chơi này thật sự tuyệt vời,positive
Tôi ghét sản phẩm này,negative
Tôi rất thích thiết bị này,positive
I love this phone,positive
Tôi rất thất vọng với thiết bị,negative
Trải nghiệm với điện thoại rất đáng tiền,positive
I love this restaurant,positive
Đây là một ứng dụng tốt,positive
I love this item,positive
máy tính này thật sự rất ổn,positive
máy tính này rất không đáng tiền,negative
This game is absolutely useless,negative
ứng dụng này rất chất lượng cao,positive
thiết bị này rất kém,negative
This is a outstanding device,positive
Tôi rất thích trò chơi này,positive
This is a outstanding device,positive
Trải nghiệm với máy tính rất rất tệ,negative
The product works brilliant,positive
Tôi ghét sản phẩm này,negative
Tôi rất thất vọng với ứng dụng,negative
This is a very useless app,negative
Tôi ghét sản phẩm này,negative
dịch vụ này thật sự xuất sắc,positive
I really like this service,positive
trò chơi này rất tồi tệ,negative
Đây là một máy tính rất ổn,positive
Tôi rất thất vọng với dịch vụ,negative
I love this restaurant,positive
This is a fantastic laptop,positive
This device is perfect,positive
This device is absolutely fantastic,positive
This app is useless,negative
máy tính này thật sự đáng tiền,positive
Trải nghiệm với ứng dụng rất chất lượng cao,positive
Tôi ghét ứng dụng này,negative
This is a very bad device,negative
I regret buying this app,negative
I am very happy with this restaurant,positive
thiết bị này thật sự hoàn hảo,positive
The item works very awful,negative
This phone is absolutely outstanding,positive
The game works very poor,negative
Trải nghiệm với thiết bị rất tệ,negative
Trải nghiệm với ứng dụng rất xuất sắc,positive
Tôi ghét dịch vụ này,negative
thiết bị này thật sự thất vọng,negative
Trải nghiệm với dịch vụ rất xuất sắc,positive
This is a very broken product,negative
Tôi rất thất vọng với trò chơi,negative
This is a great device,positive
Trải nghiệm với máy tính rất rất tệ,negative
This laptop is absolutely awful,negative
Trải nghiệm với dịch vụ rất xuất sắc,positive
I am very happy with this laptop,positive
I hate this movie,negative
điện thoại này rất rất kém,negative
thiết bị này rất tuyệt vời,positive
I regret buying this device,negative
This is a very cheap restaurant,negative
thiết bị này rất xuất sắc,positive
Trải nghiệm với dịch vụ rất rất tệ,negative
ứng dụng này thật sự thất vọng,negative
I really like this device,positive
I hate this app,negative
Đây là một máy tính đáng tiền,positive
Đây là một thiết bị kém,negative
điện thoại này rất rất ổn,positive
Trải nghiệm với trò chơi rất rất kém,negative
dịch vụ này rất đáng tiền,positive
This is a fantastic game,positive
I really like this movie,positive
Tôi ghét ứng dụng này,negative
thiết bị này thật sự thất vọng,negative
I regret buying this service,negative
Đây là một trò chơi tệ,negative
Tôi rất hài lòng với trò chơi,positive
Trải nghiệm với thiết bị rất rất ổn,positive
Đây là một điện thoại không đáng tiền,negative
This game is horrible,negative
ứng dụng này thật sự rất kém,negative
Trải nghiệm với máy tính rất tốt,positive
dịch vụ này thật sự rất tệ,negative
This is a very awful movie,negative
I regret buying this device,negative
The movie works amazing,positive
thiết bị này thật sự chất lượng cao,positive
điện thoại này thật sự kém,negative
I love this service,positive
Tôi rất hài lòng với dịch vụ,positive
Tôi rất hài lòng với máy tính,positive
I regret buying this service,negative
Tôi ghét máy tính này,negative
Tôi ghét ứng dụng này,negative
I am very disappointed with this restaurant,negative
I am very happy with this restaurant,positive
The app works superb,positive
I really like this game,positive
Tôi rất hài lòng với dịch vụ,positive
I regret buying this service,negative
Tôi ghét ứng dụng này,negative
This item is fantastic,positive
This laptop is awful,negative
This product is fantastic,positive
Đây là một ứng dụng tuyệt vời,positive
I regret buying this item,negative
I really like this device,positive
I regret buying this movie,negative
ứng dụng này rất tồi tệ,negative
This is a great phone,positive
Tôi rất thích dịch vụ này,positive
Đây là một máy tính tốt,positive
The device works very horrible,negative
This device is absolutely ugly,negative
Tôi rất hài lòng với thiết bị,positive
Tôi rất thích máy tính này,positive
dịch vụ này rất tuyệt vời,positive
This device is beautiful,positive
Tôi rất thất vọng với sản phẩm,negative
điện thoại này rất tệ,negative
Tôi rất hài lòng với ứng dụng,positive
Đây là một trò chơi tốt,positive
The movie works brilliant,positive
ứng dụng này thật sự rất kém,negative
Trải nghiệm với điện thoại rất tồi tệ,negative
trò chơi này thật sự rất kém,negative
I am very disappointed with this laptop,negative
This service is absolutely great,positive
máy tính này rất tốt,positive
This is a perfect item,positive
I am very disappointed with this restaurant,negative
I really like this game,positive
I really like this app,positive
This is a superb game,positive
dịch vụ này rất đáng tiền,positive
This item is outstanding,positive
Tôi rất thích máy tính này,positive
Tôi rất thất vọng với dịch vụ,negative
This movie is absolutely worst,negative
điện thoại này thật sự chất lượng cao,positive
I regret buying this service,negative
Đây là một trò chơi tuyệt vời,positive
ứng dụng này thật sự thất vọng,negative
This laptop is absolutely terrible,negative
This service is absolutely brilliant,positive
This phone is awful,negative
I love this service,positive
I am very happy with this phone,positive
I really like this movie,positive
Đây là một dịch vụ rất tệ,negative
I am very disappointed with this app,negative
điện thoại này rất tốt,positive
Tôi rất thích điện thoại này,positive
máy tính này rất xuất sắc,positive
I am very disappointed with this restaurant,negative
This phone is broken,negative
I am very happy with this restaurant,positive
This phone is absolutely awful,negative
Đây là một dịch vụ tệ,negative
I hate this app,negative
I regret buying this product,negative
Đây là một sản phẩm đáng tiền,positive
This phone is terrible,negative
Đây là một thiết bị thất vọng,negative
I regret buying this game,negative
This device is absolutely ugly,negative
trò chơi này rất không đáng tiền,negative
I really like this movie,positive
Đây là một thiết bị xuất sắc,positive
Trải nghiệm với máy tính rất chất lượng cao,positive
This game is absolutely beautiful,positive
dịch vụ này rất đáng tiền,positive
Tôi rất hài lòng với thiết bị,positive
This product is annoying,negative
I am very happy with this game,positive
Đây là một điện thoại rất ổn,positive
This is a wonderful device,positive
I really like this restaurant,positive
This app is absolutely ugly,negative
This service is absolutely bad,negative
dịch vụ này rất chất lượng cao,positive
Trải nghiệm với thiết bị rất xuất sắc,positive
This service is absolutely excellent,positive
I am very disappointed with this product,negative
Tôi rất thất vọng với điện thoại,negative
sản phẩm này thật sự rất kém,negative
Tôi ghét dịch vụ này,negative
Trải nghiệm với thiết bị rất rất tệ,negative
I am very happy with this product,positive
I regret buying this phone,negative
I really like this device,positive
This is a amazing item,positive
trò chơi này rất rất tệ,negative
I am very disappointed with this restaurant,negative
sản phẩm này rất đáng tiền,positive
This laptop is disappointing,negative
dịch vụ này thật sự tệ,negative
thiết bị này rất tốt,positive
I hate this game,negative
This movie is absolutely outstanding,positive
trò chơi này thật sự tốt,positive
ứng dụng này rất tệ,negative
I regret buying this laptop,negative
điện thoại này rất thất vọng,negative
This item is nice,positive
The product works amazing,positive
I am very disappointed with this app,negative
This phone is wonderful,positive
This is a amazing movie,positive
Trải nghiệm với sản phẩm rất rất ổn,positive
Trải nghiệm với trò chơi rất tồi tệ,negative
Đây là một trò chơi xuất sắc,positive
The device works wonderful,positive
Tôi rất thích máy tính này,positive
sản phẩm này thật sự đáng tiền,positive
Tôi ghét điện thoại này,negative
This is a excellent product,positive
Đây là một sản phẩm tuyệt vời,positive
ứng dụng này rất tốt,positive
Trải nghiệm với máy tính rất chất lượng cao,positive
I am very disappointed with this product,negative
I am very disappointed with this restaurant,negative
I am very happy with this phone,positive
dịch vụ này rất kém,negative
thiết bị này thật sự rất tệ,negative
This is a very horrible device,negative
The app works very ugly,negative
điện thoại này rất tuyệt vời,positive
The product works very annoying,negative
Tôi ghét dịch vụ này,negative
This service is absolutely poor,negative
This device is absolutely ugly,negative
Đây là một dịch vụ tốt,positive
sản phẩm này thật sự xuất sắc,positive
This is a very cheap laptop,negative
I am very happy with this restaurant,positive
I regret buying this movie,negative
This is a very cheap game,negative
Đây là một dịch vụ rất tệ,negative
I love this game,positive
I hate this movie,negative
Tôi rất hài lòng với sản phẩm,positive
I love this service,positive
Trải nghiệm với ứng dụng rất rất tệ,negative
I really like this product,positive
ứng dụng này rất hoàn hảo,positive
This is a brilliant movie,positive
The service works very awful,negative
This is a very broken movie,negative
The restaurant works very horrible,negative
I am very happy with this product,positive
Trải nghiệm với máy tính rất kém,negative
This is a incredible item,positive
This is a incredible device,positive
Tôi rất thích điện thoại này,positive
The laptop works very terrible,negative
This service is bad,negative
thiết bị này rất hoàn hảo,positive
This device is absolutely perfect,positive
This restaurant is nice,positive
I really like this item,positive
I hate this phone,negative
I really like this device,positive
Trải nghiệm với ứng dụng rất rất ổn,positive
I really like this game,positive
Đây là một trò chơi đáng tiền,positive
The game works very worst,negative
máy tính này rất hoàn hảo,positive
Trải nghiệm với trò chơi rất rất kém,negative
Đây là một sản phẩm tốt,positive
I hate this game,negative
Trải nghiệm với ứng dụng rất kém,negative
Tôi rất thất vọng với điện thoại,negative
Tôi ghét điện thoại này,negative
Tôi rất thích dịch vụ này,positive
This device is nice,positive
Tôi rất hài lòng với ứng dụng,positive
This movie is absolutely terrible,negative
sản phẩm này thật sự rất ổn,positive
This restaurant is great,positive
I am very happy with this item,positive
điện thoại này thật sự thất vọng,negative
ứng dụng này rất tuyệt vời,positive
Tôi rất thất vọng với sản phẩm,negative
I am very disappointed with this product,negative
This game is broken,negative
Đây là một điện thoại đáng tiền,positive
thiết bị này thật sự tệ,negative
I really like this service,positive
The movie works very terrible,negative
This is a very horrible device,negative
Tôi rất hài lòng với thiết bị,positive
This service is nice,positive
Trải nghiệm với máy tính rất rất ổn,positive
Tôi rất thất vọng với trò chơi,negative
Tôi rất thích dịch vụ này,positive
I am very happy with this device,positive
I am very happy with this service,positive
I love this device,positive
Tôi rất thất vọng với thiết bị,negative
Tôi rất hài lòng với ứng dụng,positive
dịch vụ này rất kém,negative
ứng dụng này thật sự đáng tiền,positive
Trải nghiệm với dịch vụ rất hoàn hảo,positive
I regret buying this service,negative
I hate this movie,negative
Đây là một máy tính tuyệt vời,positive
This service is horrible,negative
Trải nghiệm với dịch vụ rất chất lượng cao,positive
trò chơi này rất tốt,positive
This laptop is worst,negative
The game works brilliant,positive
Tôi rất thất vọng với sản phẩm,negative
Đây là một sản phẩm đáng tiền,positive
Tôi ghét trò chơi này,negative
This is a incredible laptop,positive
This is a very cheap phone,negative
I hate this game,negative
This item is absolutely fantastic,positive
The restaurant works awesome,positive
This is a amazing device,positive
Tôi ghét thiết bị này,negative
This restaurant is terrible,negative
Đây là một điện thoại rất kém,negative
trò chơi này rất rất kém,negative
I regret buying this restaurant,negative
I regret buying this service,negative
Tôi rất thất vọng với máy tính,negative
Tôi rất thích dịch vụ này,positive
